17	95255
17	96319
53	87254
74	99782
74	83969
110	91558
158	35639
198	89531
230	74993
249	14359
249	6852
256	83011
267	80056
298	22929
298	27075
301	86317
302	75231
305	97515
329	79232
356	17182
374	91546
379	94123
382	92579
390	31821
407	83935
447	30523
477	80492
477	79476
492	74720
494	82419
524	5835
553	98916
567	34667
567	98931
567	93065
577	32600
577	33310
592	8300
615	27451
659	81896
659	95587
715	91691
753	28923
793	74919
793	91753
793	75208
813	95498
826	24449
826	89054
836	1982
836	5600
836	6262
870	91534
903	88998
903	84532
912	96013
923	22578
923	29722
927	93321
940	91088
947	81027
947	94733
947	76010
948	92578
960	2284
990	23221
990	34782
1013	76700
1013	1887
1045	93774
1082	420
1131	86024
1153	89664
1153	94395
1153	79168
1173	11187
1173	28806
1188	26494
1195	9419
1195	74807
1197	99855
1197	76129
1197	88927
1228	12453
1228	6793
1228	93527
1232	84357
1238	30099
1238	32610
1259	86500
1281	29347
1330	30350
1336	13513
1458	76438
1482	26138
1482	28094
1482	29347
1482	31408
1577	87516
1584	12379
1584	15170
1584	17248
1584	83496
1587	23392
1629	22207
1641	85890
1641	80514
1641	92035
1641	87640
1731	85890
1752	31015
1761	82610
1858	93645
1882	22352
1882	86071
1890	98663
1896	21496
1896	32716
1896	34905
1928	79206
1982	10011
1982	14188
1982	15206
1982	6262
1982	9383
2042	76662
2058	24307
2058	97591
2080	28452
2080	86478
2080	94174
2090	81323
2109	79309
2148	97871
2190	29045
2190	35639
2194	90274
2204	82239
2204	79175
2239	7090
2289	13835
2289	81715
2331	21095
2337	20569
2337	21478
2406	90005
2446	79115
2459	15414
2501	83474
2502	89862
2543	2772
2554	92489
2676	78317
2707	95681
2725	28779
2732	75333
2732	80742
2732	90618
2774	23088
2774	5475
2793	80364
2823	9901
2823	13662
2823	7223
2823	7182
2903	86408
2958	23863
2958	35291
2969	77483
2969	97185
2969	97070
3002	82354
3028	23293
3028	33255
3040	95021
3040	95926
3076	81608
3113	80813
3128	81397
3128	75854
3128	78934
3147	10352
3147	1811
3187	27664
3217	26651
3217	97738
3217	91398
3217	99841
3239	77001
3303	88209
3312	21033
3312	27726
3324	95021
3382	83474
3402	92578
3426	4268
3426	33653
3432	90274
3432	9379
3432	83312
3461	84929
3461	96872
3461	97266
3494	83261
3501	10352
3524	75518
3533	84871
3554	6541
3560	93035
3560	79565
3560	76901
3560	99334
3560	99123
3574	76438
3601	87636
3601	91208
3604	23770
3604	30329
3604	33255
3635	82044
3736	97061
3737	13519
3738	99612
3767	27451
3767	29166
3767	34864
3770	8296
3787	88750
3843	12617
3866	91462
3876	97297
3876	99669
3915	98726
3916	88296
3918	90943
3918	92578
3964	22578
3964	30965
3983	83474
4041	86972
4060	95576
4064	3994
4064	87350
4077	95864
4078	74379
4078	34986
4083	90274
4088	97055
4115	91340
4137	82354
4195	87412
4237	24854
4256	93878
4256	88073
4256	79443
4256	88646
4257	25948
4257	93587
4277	94400
4294	34905
4297	27280
4297	91278
4297	86330
4333	95926
4333	83233
4351	82846
4351	87201
4369	80813
4385	87137
4397	89307
4397	81483
4440	99555
4453	85888
4476	92130
4562	77064
4587	27057
4587	81338
4655	78184
4655	83597
4670	82253
4688	12631
4697	93560
4698	87938
4698	76592
